,d,d_rock,diff_settle l/s,diff_settle s/l,settlement [mm],station,x-sect_x,x-sect_y,x_station,y_station
0,46.2,21.3,,,-1.1099288265691596,106+407,2612861.041586467,1268110.5849708566,2612895,1268131
1,46.2,21.3,12059.145636214655,8.29246142443884e-05,-1.5245518977911015,106+407,2612865.3063881584,1268113.1948494995,2612895,1268131
2,46.2,21.3,10357.626414152895,9.654721651609072e-05,-2.0072879803715553,106+407,2612869.57118985,1268115.8047281425,2612895,1268131
3,46.2,21.3,9504.335143772765,0.00010521514497047165,-2.5333637052239135,106+407,2612873.835991542,1268118.4146067854,2612895,1268131
4,46.2,21.3,9408.008857435081,0.00010629241693471698,-3.0648257898974984,106+407,2612878.1007932336,1268121.0244854284,2612895,1268131
5,46.2,21.3,10218.399935194977,9.786267970934718e-05,-3.554139188444234,106+407,2612882.3655949254,1268123.6343640713,2612895,1268131
6,46.2,21.3,12605.686574731677,7.932927683641745e-05,-3.9507855726263212,106+407,2612886.6303966166,1268126.2442427143,2612895,1268131
7,46.2,21.3,19310.15035793807,5.1786235811929725e-05,-4.20971675168597,106+407,2612890.8951983084,1268128.8541213572,2612895,1268131
8,46.2,21.3,55538.240458605316,1.800561184046399e-05,-4.29974481088829,106+407,2612895.16,1268131.4640000002,2612895,1268131
9,46.2,21.3,55538.240458605316,1.800561184046399e-05,-4.20971675168597,106+407,2612899.424801692,1268134.073878643,2612895,1268131
10,46.2,21.3,19310.15035793807,5.1786235811929725e-05,-3.9507855726263212,106+407,2612903.6896033837,1268136.683757286,2612895,1268131
11,46.2,21.3,12605.686574731677,7.932927683641745e-05,-3.554139188444234,106+407,2612907.954405075,1268139.293635929,2612895,1268131
12,46.2,21.3,10218.399935194977,9.786267970934718e-05,-3.0648257898974984,106+407,2612912.2192067667,1268141.903514572,2612895,1268131
13,46.2,21.3,9408.008857435081,0.00010629241693471698,-2.5333637052239135,106+407,2612916.4840084584,1268144.513393215,2612895,1268131
14,46.2,21.3,9504.335143772765,0.00010521514497047165,-2.0072879803715553,106+407,2612920.74881015,1268147.1232718579,2612895,1268131
15,46.2,21.3,10357.626414152895,9.654721651609072e-05,-1.5245518977911015,106+407,2612925.013611842,1268149.7331505008,2612895,1268131
16,46.2,21.3,12059.145636214655,8.29246142443884e-05,-1.1099288265691596,106+407,2612929.2784135332,1268152.3430291438,2612895,1268131
0,46.0,21.3,,,-1.0946338121405372,106+410,2612862.642280887,1268107.96938223,2612897,1268129
1,46.0,21.3,12082.920003367899,8.276145167900373e-05,-1.5084410705355558,106+410,2612866.902745776,1268110.586334451,2612897,1268129
2,46.0,21.3,10346.814756358623,9.66481012318744e-05,-1.9916815766949278,106+410,2612871.163210665,1268113.2032866725,2612897,1268129
3,46.0,21.3,9469.918482054674,0.00010559752989373478,-2.5196692261636016,106+410,2612875.423675554,1268115.8202388936,2612897,1268129
4,46.0,21.3,9353.782701040012,0.00010690861996278936,-3.0542123259775487,106+410,2612879.6841404433,1268118.437191115,2612897,1268129
5,46.0,21.3,10142.021026233342,9.859967726485686e-05,-3.547210712301833,106+410,2612883.9446053323,1268121.0541433361,2612897,1268129
6,46.0,21.3,12495.313448612802,8.003000517854296e-05,-3.9473607381945475,106+410,2612888.2050702213,1268123.6710955575,2612897,1268129
7,46.0,21.3,19124.59880266101,5.2288678592350875e-05,-4.208804131156302,106+410,2612892.465535111,1268126.2880477787,2612897,1268129
8,46.0,21.3,54980.89540055714,1.81881359463976e-05,-4.29974481088829,106+410,2612896.726,1268128.905,2612897,1268129
